SN,redshift,distancemodulus,sigma
SN240,0.214568258658,40.2018496659,0.11698744578
SN241,0.215,40.3780576732,0.193933997767
SN242,0.215543320953,40.2965294236,0.140207657342
SN243,0.216,40.5560465985,0.244099860655
SN244,0.216,40.4049089433,0.21521177477
SN245,0.216582821954,40.3602717031,0.152479838933
SN246,0.218,40.0754074212,0.222222737823
SN247,0.218347445403,40.2208498377,0.124421502953
SN248,0.218585189041,40.1990974567,0.117113950953
SN249,0.228528473881,40.2544336386,0.12201137132
SN250,0.232781107182,40.2045290903,0.15178836784
SN251,0.239,40.2591287799,0.204167929675
SN252,0.24,40.7421915815,0.402844159873
SN253,0.242504680476,40.1304465537,0.150915056663
SN254,0.244378876797,40.2019303938,0.124309900698
SN255,0.248508130676,40.2721746838,0.125645589328
SN256,0.2486,40.6111853429,0.154515955385
SN257,0.249511054792,40.7809243328,0.132323047466
SN258,0.25066763111,40.7456030264,0.120970959661
SN259,0.251740186424,40.5417217599,0.118440110682
SN260,0.252486060029,40.5184210801,0.145050195669
SN261,0.255490620022,40.4859446261,0.150967373278
SN262,0.256475742725,40.6108439003,0.156286225391
SN263,0.257497888297,40.5941645935,0.131393591319
SN264,0.257740303509,40.6514783957,0.135891055781
SN265,0.258028270562,40.6446788667,0.137108498782
SN266,0.26,40.8233657709,0.199851735971
SN267,0.260533476953,40.8081341413,0.148279348857
SN268,0.260586108317,40.5231676777,0.141595051803
SN269,0.263,40.6346721186,0.134567832845
SN270,0.263491026592,40.7673226085,0.127293080139
SN271,0.263647950642,40.5481756685,0.139823620366
SN272,0.265762479518,40.4981499217,0.124803942242
SN273,0.266,40.3907073912,0.250227167194
SN274,0.269,40.7761617315,0.25640063853
SN275,0.270434442827,40.668983836,0.145477928824
SN276,0.271,40.5323020705,0.21526700069
SN277,0.273454768884,40.7271582441,0.163668270948
SN278,0.274,40.7246506476,0.208670920573
SN279,0.275440197435,40.743391802,0.142941615821
SN280,0.277853422619,40.8380084515,0.168994207516
SN281,0.278,40.5662405695,0.198452987813
SN282,0.278924676328,40.7678297655,0.130157044183
SN283,0.27945473261,40.5012843665,0.138724732909
SN284,0.284,40.8353825838,0.206616021304
SN285,0.285,40.8542434728,0.136594130276
SN286,0.286,41.2111308437,0.25814462102
SN287,0.286618706522,41.0384076468,0.133800275646
SN288,0.288418344585,40.8427853587,0.149598782119
SN289,0.2912,40.8390642775,0.146624503178
SN290,0.292469756082,40.919048654,0.141400626542
SN291,0.295585550063,41.1370597018,0.215064876219
SN292,0.297518833561,40.7722050136,0.205185826917
SN293,0.29840927363,41.0624002336,0.21581859647
SN294,0.298777444088,41.0293579818,0.154536935815
SN295,0.3,40.9627951522,0.314865571912
SN296,0.300312695802,40.8468481928,0.15150098613
SN297,0.301755029535,41.4938104959,0.246761480943
SN298,0.302,41.3107982848,0.272346550274
SN299,0.30240162108,41.033200098,0.134910116135
SN300,0.308580866071,40.9076217053,0.177652782589
SN301,0.309,40.8607746451,0.214863256477
SN302,0.309,41.1737957091,0.235823875951
SN303,0.309492645411,41.0181924732,0.134960171498
SN304,0.309547337158,41.1925567238,0.154012332803
SN305,0.312883364158,41.0144487771,0.139506514174
SN306,0.314,41.2319680355,0.242363893683
SN307,0.316429844695,41.3950733806,0.192866122248
SN308,0.32,41.2446034516,0.420998113276
SN309,0.320446988861,41.102785135,0.134380311167
SN310,0.326396483203,40.972304176,0.144388065833
SN311,0.329,41.3402567282,0.269807401411
SN312,0.330512448683,41.2279390018,0.156723683034
SN313,0.33063462833,41.0522598891,0.152699339448
SN314,0.331,41.0784700501,0.137704766569
SN315,0.332,41.2554783013,0.239903276269
SN316,0.3373,41.2944909521,0.137240588972
SN317,0.338802609134,41.3053718801,0.170908367946
SN318,0.3396,41.0839733838,0.226527941211
SN319,0.34,41.0800432546,0.231193988299
SN320,0.34,41.2131787728,0.228190770173
SN321,0.3402,41.3280915278,0.135546197344
SN322,0.341,40.9915138593,0.224504319999
SN323,0.342,41.3845981768,0.21481032067
SN324,0.344,41.1728711166,0.209772839036
SN325,0.346,41.3646268615,0.15221324645
SN326,0.348,41.5896262003,0.217425302485
SN327,0.348345020835,41.3077915312,0.217774889061
SN328,0.348583857544,41.3009410359,0.177371887871
SN329,0.352,41.423779352,0.224191540842
SN330,0.355,41.3423115755,0.20146843402
SN331,0.357,41.4255279641,0.137721476533
SN332,0.357507357032,41.3288394045,0.202587682493
SN333,0.3578,41.4349095934,0.136096151868
SN334,0.360034211989,41.1573004359,0.175048186524
SN335,0.361934308832,41.3844533517,0.166441914984
SN336,0.363,41.551975686,0.208173297091
SN337,0.366602898789,41.8598572351,0.198404429556
SN338,0.368,41.4676952372,0.207180966902
SN339,0.369,41.6340230154,0.152644121885
SN340,0.3709,41.6692043983,0.154834006045
SN341,0.374,43.1851146804,0.923198713714
SN342,0.378965802039,41.5814889023,0.197094007682
SN343,0.379662293575,41.4330618932,0.147219740299
SN344,0.38,42.063176534,0.327833114422
SN345,0.380359487336,41.657498659,0.217910527631
SN346,0.380416514286,41.2723405299,0.198558434394
SN347,0.383,41.6420339038,0.251010174803
SN348,0.387297107465,41.8924653292,0.18642986619
SN349,0.388,42.2076140366,0.465017827284
SN350,0.389288787688,41.6026284289,0.200867575788
SN351,0.391599213441,41.5087271022,0.171564315895
SN352,0.393974478272,41.7811534223,0.150707319622
SN353,0.3965,41.4879207897,0.202374999057
SN354,0.399,41.4880817606,0.292952212036
SN355,0.399601334976,41.7288003127,0.205132433748
SN356,0.4,42.3127671586,0.477589020966
SN357,0.401,41.9356323131,0.332838743195
SN358,0.401,42.5546203602,0.369893982362
SN359,0.401,41.6954244654,0.229308722315
SN360,0.402459619216,41.9111467578,0.211278493994
SN361,0.408319092164,41.840293526,0.206369618511
SN362,0.41,41.3474933283,0.256981142148
SN363,0.412,41.4237121884,0.312056381676
SN364,0.415,41.8767704643,0.141093702805
SN365,0.416,41.5575369467,0.303252121943
SN366,0.416,42.4236170407,0.556342333092
SN367,0.420926821103,42.1335480049,0.202321001311
SN368,0.421,42.1796277538,0.233773507359
SN369,0.421,42.1360316298,0.322004955245
SN370,0.422,41.7283094576,0.230713845858
SN371,0.423,41.5655258816,0.243579000627
SN372,0.425,41.2021312228,0.489149082777
SN373,0.426,41.7615774796,0.22492067105
SN374,0.429,41.8900388123,0.215471389689
SN375,0.43,41.8109207973,0.15108214332
SN376,0.43,42.1841242053,0.148171058429
SN377,0.43,41.8019360973,0.458804990654
SN378,0.43,41.7661368295,0.608328916424
SN379,0.43,42.3985415069,0.458327873977
SN380,0.43,41.3188581715,0.357827626062
SN381,0.436,41.9257693002,0.228262759927
SN382,0.436,41.8800161997,0.21653394713
SN383,0.44,42.0106475331,0.107484807666
SN384,0.44,42.0495332736,0.319794878908
SN385,0.449,42.0230683496,0.157063020734
SN386,0.45,42.4024477254,0.508290617768
SN387,0.45,42.2709731768,0.589947886789
SN388,0.45,41.8319918495,0.453701962845
SN389,0.451,41.7966744145,0.143055821894
SN390,0.453,42.8212084765,0.524912951846
SN391,0.455,42.3239322721,0.229627540013
SN392,0.46,42.1484496113,0.210095497723
SN393,0.4607,42.0716665463,0.18126245549
SN394,0.4627,42.0422849962,0.14756880162
SN395,0.463,41.947753754,0.26646445376
SN396,0.465,41.8251633017,0.600030636232
SN397,0.468,42.5489037371,0.1639147706
SN398,0.469,42.3544812112,0.28315240581
SN399,0.47,42.1345594858,0.15323960172
SN400,0.472,41.9691632564,0.514472850425
SN401,0.475,42.1048814028,0.255958316646
SN402,0.477,42.0543351554,0.183599933891
SN403,0.479,42.3517577625,0.358136299792
SN404,0.48,42.1599485926,0.521420422571
SN405,0.49,41.7874349383,0.446484505947
